의안번호,대수,법률안명,제안자,대표발의자,공동발의자,상세페이지,소관위원회,제안일,처리상태,제안자목록링크
2107154,21,주차장법 일부개정법률안,조오섭의원 등 11인,조오섭,"김승남,문진석,민형배,송갑석,윤영덕,이병훈,이학영,인재근,주철현,진선미",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2M1H0V1E0J4M1U8B4W3F1X8C6O3D1&ageFrom=21&ageTo=21,국토교통위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_L2M1H0V1E0J4M1U8B4W3F1X8C6O3D1
2107153,21,철도산업발전기본법 일부개정법률안,조오섭의원 등 12인,조오섭,"강은미,문진석,민형배,박상혁,서삼석,송갑석,우원식,이용빈,인재근,주철현,진성준",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S2B1R0U1A0K4T1L8N3O1T2W0G1Z3R3&ageFrom=21&ageTo=21,국토교통위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_S2B1R0U1A0K4T1L8N3O1T2W0G1Z3R3
2107152,21,공동주택관리법 일부개정법률안,조오섭의원 등 12인,조오섭,"강은미,문진석,민형배,박상혁,서삼석,송갑석,우원식,이용빈,인재근,주철현,진성준",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S2N1X0H1K0E4S1H8U2W9G1F9G4S1O1&ageFrom=21&ageTo=21,국토교통위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_S2N1X0H1K0E4S1H8U2W9G1F9G4S1O1
2107151,21,주거급여법 일부개정법률안,조오섭의원 등 11인,조오섭,"김승남,문진석,민형배,송갑석,우원식,윤영덕,이학영,인재근,주철현,진선미",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2M1P0O1X0J4O1Q8S2B6T2T0B4H7J4&ageFrom=21&ageTo=21,국토교통위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2M1P0O1X0J4O1Q8S2B6T2T0B4H7J4
2107150,21,공유수면 관리 및 매립에 관한 법률 일부개정법률안,조오섭의원 등 12인,조오섭,"김승남,문진석,민형배,소병훈,송갑석,우원식,윤영덕,이학영,이형석,인재근,주철현",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2R1T0R1T0V4J1I8J2R4K0V9F8O1B8&ageFrom=21&ageTo=21,농림축산식품해양수산위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_L2R1T0R1T0V4J1I8J2R4K0V9F8O1B8
2107149,21,도로교통법 일부개정법률안,조오섭의원 등 11인,조오섭,"강은미,문진석,민형배,박상혁,서삼석,송갑석,이용빈,인재근,주철현,진성준",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E1T0F1L0I4W1B8I1E8B1O2W2A1N1&ageFrom=21&ageTo=21,행정안전위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_P2E1T0F1L0I4W1B8I1E8B1O2W2A1N1
2107148,21,도로교통법 일부개정법률안,조오섭의원 등 13인,조오섭,"강은미,문진석,민형배,박상혁,서삼석,송갑석,우원식,이용빈,이형석,인재근,주철현,진성준",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2Z1Q0T1G0T4G1B8I1S1G4T6S9Z5Y8&ageFrom=21&ageTo=21,행정안전위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_E2Z1Q0T1G0T4G1B8I1S1G4T6S9Z5Y8
2107147,21,식품안전기본법 일부개정법률안,조오섭의원 등 10인,조오섭,"문진석,민형배,소병훈,송갑석,양향자,윤영덕,인재근,주철현,진선미",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S2Q1T0O1A0A4R1L8E0T8P0T1Z8C0U8&ageFrom=21&ageTo=21,보건복지위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_S2Q1T0O1A0A4R1L8E0T8P0T1Z8C0U8
2107146,21,중증장애인생산품 우선구매 특별법 일부개정법률안,조오섭의원 등 12인,조오섭,"문진석,민형배,소병훈,송갑석,우원식,윤영덕,이학영,이형석,인재근,주철현,진선미",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2T1U0Y1O0B4R1G8Y0U6A5J3F3G7F3&ageFrom=21&ageTo=21,보건복지위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_C2T1U0Y1O0B4R1G8Y0U6A5J3F3G7F3
2107145,21,재난 및 안전관리 기본법 일부개정법률안,조오섭의원 등 11인,조오섭,"문진석,민형배,소병훈,송갑석,양향자,이학영,이형석,인재근,주철현,진선미",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2U1L0S1L0O4O1T8R0V5L2M9G5M3X2&ageFrom=21&ageTo=21,행정안전위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_H2U1L0S1L0O4O1T8R0V5L2M9G5M3X2
