품목별(1),품목별(2),품목별(3),항목,시점,데이터
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2021. 10,711
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2021. 11,827
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2020. 01,4336
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2020. 02,2828
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2020. 03,8213
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2020. 04,5815
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2020. 05,6375
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2020. 06,5098
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2020. 07,4423
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2020. 08,6648
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2020. 09,6003
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2020. 10,7112
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2020. 11,6196
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2020. 12,6491
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2021. 01,4480
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2021. 02,2462
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2021. 03,7714
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2021. 04,6084
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2021. 05,4251
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2021. 06,5430
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2021. 07,5152
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2021. 08,5484
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2021. 09,5212
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2021. 10,5373
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수입액 (천달러),2021. 11,7097
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2020. 01,8896
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2020. 02,8376
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2020. 03,6904
