"품목별(1)",품목별(2),품목별(3),2020. 01,2020. 01,2020. 02,2020. 02,2020. 03,2020. 03,2020. 04,2020. 04,2020. 05,2020. 05,2020. 06,2020. 06,2020. 07,2020. 07,2020. 08,2020. 08,2020. 09,2020. 09,2020. 10,2020. 10,2020. 11,2020. 11,2020. 12,2020. 12,2021. 01,2021. 01,2021. 02,2021. 02,2021. 03,2021. 03,2021. 04,2021. 04,2021. 05,2021. 05,2021. 06,2021. 06,2021. 07,2021. 07,2021. 08,2021. 08,2021. 09,2021. 09,2021. 10,2021. 10,2021. 11,2021. 11
"품목별(1)",품목별(2),품목별(3),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러)
"식품 및 산동물",곡식 및 곡식가공품,곡물제분하지 않은 것(밀쌀보리 및 옥수수 제외),19,3158,28,1529,20,1938,74,2822,41,2415,20,1625,38,1193,63,1161,50,4288,73,1864,79,2374,63,4980,33,2584,46,1927,75,2449,43,2842,26,3393,42,1333,59,1471,53,1920,51,5958,66,2267,81,1973
"식품 및 산동물",곡식 및 곡식가공품,밀의 거친가루 및 고운가루와 메슬린의 고운가루,1965,699,2215,798,1977,851,3149,622,1972,695,2032,857,2091,1078,1852,532,2146,617,1827,778,2313,695,2291,843,1939,969,1822,672,2278,941,2041,601,2171,923,1683,1091,1768,1177,2188,973,2041,914,2186,1012,2687,1029
"식품 및 산동물",곡식 및 곡식가공품,기타 곡물 거친가루 및 고운가루,165,1223,200,695,160,844,139,916,220,754,195,1122,180,911,178,944,290,837,291,860,305,1077,272,1031,395,1027,222,996,238,785,193,1117,230,749,216,959,185,1220,142,1183,133,954,183,1025,198,940
"식품 및 산동물",곡식 및 곡식가공품,곡식가공품 및 곡분,31740,60015,36079,45845,41597,51246,44461,52926,35867,51917,40689,61930,41655,56138,38703,51323,44981,61161,43814,62680,47396,62817,44549,66482,41385,62502,40369,54933,56815,68769,48721,66666,46527,58671,47970,71639,48012,66557,47454,64962,48062,62495,58479,64893,59052,69420
"식품 및 산동물",채소 및 과실,소계,68979,317796,68162,246635,67496,380631,56574,379892,48755,345193,58394,331555,60059,321089,57337,244944,71544,286630,74025,275339,99788,295610,99910,324879,86517,319892,65749,291926,74526,466673,66759,445045,57004,391420,63377,384001,58340,339287,66547,294454,78119,292618,85288,292306,95326,338669
"식품 및 산동물",채소 및 과실,채소신선냉장냉동 또는 단순히 저장한 것,15562,63861,16992,37700,15096,53645,15369,58191,15383,47095,21213,50416,22100,47473,15161,44638,11234,61412,13150,55410,22425,57304,17100,77315,16037,65116,13094,56248,15464,82083,14964,70373,15847,63482,19482,66043,18347,58215,14017,52501,13708,58582,16869,59822,14485,67158
"식품 및 산동물",채소 및 과실,달리 명시되지 않은 조제 및 저장한 채소구근 및 괴경,10593,64204,11862,46691,13944,57808,17290,56200,16071,58963,15470,59396,15248,59246,15357,52404,13115,57094,13344,61212,15311,62366,16404,58852,22093,60205,15140,53541,17502,65726,17442,62770,15690,62227,15489,64012,15510,62045,14743,57475,15061,60100,15395,62402,15642,75303
"식품 및 산동물",채소 및 과실,과실 및 견과(기름용 견과 제외)신선 또는 건조한 것,24479,115847,17118,102304,14304,200348,9283,196842,3812,167969,1998,141948,3970,133326,7622,84639,22493,98711,27693,88570,33665,109473,36707,118068,26176,119762,16983,115688,15785,237915,9308,237141,2852,185437,2536,169184,3377,142373,14339,109179,25534,99413,30728,97182,34941,118565
"식품 및 산동물",채소 및 과실,저장과실과 과실조제품(과실쥬스는 제외),14523,55780,15978,41082,20361,48696,12307,48170,10840,50231,16474,53603,14971,53193,15438,42699,20683,51592,17089,52764,25744,48388,23765,54074,17650,55311,15849,50900,19235,61838,19772,57936,18396,58313,22029,63595,17297,54768,18863,56534,20849,57422,16709,56259,24797,60626
"식품 및 산동물",채소 및 과실,과일쥬스(포도즙 포함)와 채소 쥬스,3823,18103,6212,18858,3791,20134,2326,20489,2648,20935,3239,26194,3770,27852,3759,20565,4020,17821,2749,17382,2642,18080,5934,16571,4561,19498,4682,15549,6540,19112,5275,16825,4219,21961,3841,21166,3810,21887,4585,18764,2968,17101,5587,16641,5461,17017
"식품 및 산동물",설탕설탕조제품 및 벌꿀,소계,25360,109764,27090,86161,27411,86771,24713,97930,23827,99998,27410,102766,27387,96480,27071,84583,30618,85266,27869,77104,31297,74327,31868,111642,24100,100777,19369,79537,24432,109807,25697,116600,29040,127032,28550,95051,30622,125873,30534,108430,30410,122391,30166,97729,32387,137666
"식품 및 산동물",설탕설탕조제품 및 벌꿀,설탕당밀과 벌꿀,15621,81701,13565,67226,16624,67785,16011,78521,15635,82922,18492,86903,18246,79208,18648,69102,20690,70423,19472,57856,21268,58199,20936,88887,15836,72663,12523,61488,14620,92380,17011,98759,19567,111164,18529,77894,20839,109306,21534,92764,21143,104661,20096,74295,23045,117746
"식품 및 산동물",설탕설탕조제품 및 벌꿀,설탕과자,9739,28063,13526,18936,10786,18987,8702,19408,8191,17076,8918,15863,9142,17273,8423,15482,9928,14843,8397,19248,10030,16128,10932,22755,8264,28114,6846,18049,9812,17427,8687,17841,9472,15868,10020,17158,9783,16566,8999,15666,9267,17731,10070,23433,9342,19919
"식품 및 산동물",커피차코코아향신료 및 동제품,소계,22616,116144,19946,95689,22996,104371,23690,100420,24947,104782,26595,109975,23619,120270,24470,114715,29787,122696,27580,132599,28173,124497,30762,126721,26411,128239,24284,108031,30801,126108,28237,136406,26731,121828,26116,144273,29106,119315,25987,129279,26044,122001,31267,151534,35628,165964
"식품 및 산동물",커피차코코아향신료 및 동제품,커피 및 커피대용품,15726,61398,13644,53938,16194,65306,16858,58082,18063,70746,18206,77390,16477,87025,16934,74175,20535,75944,18523,81484,18606,76171,19723,72505,18785,76671,16034,66123,21010,83190,19048,91158,19211,81522,16024,100557,20032,80298,18278,86665,16740,76157,20925,89313,22238,109333
